Uniques	Duplicates	X2	M2	S2
10	1	0	0.1336	10.3844334
10	2	0	0.1342	2.8514604
10	3	0	0.1502	2.7726944
10	4	0	0.1234	1.7908108
10	5	0	0.108	1.7045102
20	1	0	0.1252	8.7293352
20	10	0	0.1268	2.3619272
20	2	0	0.1408	2.5069618
20	3	0	0.1426	4.0479344
20	4	0	0.1186	3.366314
20	5	0	0.1474	3.4664344
20	6	0	0.1316	3.129403
20	7	0	0.107	1.9192508
20	8	0	0.2754	2.2294434
20	9	0	0.1268	2.163342
30	1	0	0.1354	16.8030012
30	10	0	0.1346	1.5445388
30	11	0	0.1306	1.1567934
30	12	0	0.1446	1.6444394
30	13	0	0.1724	1.6718308
30	14	0	0.1458	2.1847144
30	15	0	0.1586	2.4485128
30	2	0	0.1356	5.19334
30	3	0	0.15	4.8210868
30	4	0	0.1508	3.667765
30	5	0	0.1952	4.0454752
30	6	0	0.119	3.6041904
30	7	0	0.192	2.4912932
30	8	0	0.1648	2.6170806
30	9	0	0.162	1.7481524
40	1	0	0.1728	13.9104064
40	10	0	0.1854	1.3938174
40	11	0	0.1908	1.9750014
40	12	0	0.183	2.803705
40	13	0	0.2286	2.4732452
40	14	0	0.1798	2.5778146
40	15	0	0.1956	2.440856
40	16	0	0.1714	2.1653788
40	17	0	0.5102	2.4752024
40	18	0	0.9124	2.2334356
40	19	0	0.16	2.1668272
40	2	0	0.209	6.0975092
40	20	0	0.6548	2.434678
40	3	0	0.2446	5.929894
40	4	0	0.2238	5.0959288
40	5	0	0.1478	4.2453284
40	6	0	0.1942	2.6849498
40	7	0	0.1666	1.782087
40	8	0	0.1832	1.7971338
40	9	0	0.3746	1.4617342
50	1	0	0.1716	15.206967
50	10	0	0.1898	1.6035506
50	11	0	0.2346	1.808985
50	12	0	0.2268	1.5966736
50	13	0	0.2096	2.3548266
50	15	0	0.1886	2.7407828
50	16	0	0.1686	2.5870848
50	17	0	0.1992	2.4107728
50	18	0	0.2102	2.4014
50	2	0	0.188	6.0380636
50	20	0	0.2282	2.3419888
50	21	0	0.1974	3.0349504
50	22	0	0.2804	2.4378176
50	23	0	0.243	2.158258
50	25	0	0.2206	2.551004
50	3	0	0.1732	6.2257504
50	5	0	0.1952	5.3624648
50	6	0	0.1952	3.4628148
50	7	0	0.2458	2.9131416
50	8	0	0.343	1.9955054
60	1	0	0.2012	23.0796562
60	10	0	0.2116	1.7032752
60	12	0	0.17	1.5733312
60	13	0	0.215	2.2801278
60	15	0	0.2128	2.568625
60	16	0	0.2008	2.3504738
60	18	0	0.1912	3.0726112
60	19	0	0.1898	3.0753286
60	21	0	0.2078	3.2542244
60	22	0	0.2262	2.7955172
60	24	0	0.2324	2.1834044
60	25	0	0.324	2.7528848
60	27	0	0.2086	2.6234248
60	28	0	0.2104	2.2394576
60	3	0	0.2064	7.4824984
60	30	0	0.1826	2.494322
60	4	0	0.228	6.4596172
60	6	0	0.3786	4.4281426
60	7	0	0.1784	3.3855592
60	9	0	0.2246	1.9152152
70	1	0	0.1974	15.6512978
70	10	0	0.2306	1.7362216
70	12	0	0.2428	2.0246818
70	14	0	0.2326	1.8352934
70	15	0	0.2222	2.2129784
70	17	0	0.2458	3.746572
70	19	0	0.21	3.4868664
70	21	0	0.2048	3.6097464
70	22	0	0.225	2.3545206
70	24	0	0.4136	3.754358
70	26	0	0.2072	3.074814
70	28	0	0.245	3.4366804
70	29	0	0.3274	3.701928
70	3	0	0.1796	7.1582408
70	31	0	0.189	3.064991
70	33	0	0.2788	2.896674
70	35	0	0.2282	3.2004048
70	5	0	0.2344	5.9757904
70	7	0	0.2428	3.6978632
70	8	0	0.217	1.8154208
80	10	0	0.2218	2.1022744
80	12	0	0.2242	1.8242214
80	14	0	0.2026	5.7289762
80	16	0	0.2432	2.112524
80	18	0	0.2166	3.1067886
80	2	0	0.1934	17.914643
80	20	0	0.249	2.798352
80	22	0	0.2062	3.1941964
80	24	0	0.208	3.4507522
80	26	0	0.2226	2.5699958
80	28	0	0.2782	2.84039
80	30	0	0.2406	2.5301462
80	32	0	0.258	2.9097784
80	34	0	0.2494	2.9538488
80	36	0	0.2298	2.3950002
80	38	0	0.2436	2.4481752
80	4	0	0.2116	8.9248868
80	40	0	0.2524	2.3731414
80	6	0	0.248	5.8635588
80	8	0	0.2284	3.945988
90	11	0	0.241	2.5150232
90	13	0	0.259	2.5987714
90	15	0	0.2306	2.923486
90	18	0	0.2052	2.2347598
90	2	0	0.2146	16.1722406
90	20	0	0.257	2.8151458
90	22	0	0.248	3.034643
90	24	0	0.2586	3.0394306
90	27	0	0.2062	2.917201
90	29	0	0.2498	2.2700446
90	31	0	0.2354	2.7528356
90	33	0	0.2352	2.5546724
90	36	0	0.3256	2.5628232
90	38	0	0.2634	2.6350288
90	4	0	0.2082	6.6030306
90	40	0	0.2408	2.965616
90	42	0	0.2582	3.1569532
90	45	0	0.2386	3.4289868
90	6	0	0.2842	4.746607
90	9	0	0.2654	3.0638496
100	10	0	0.2344	3.112365
100	12	0	0.2296	2.2074318
100	15	0	0.2364	2.0630624
100	17	0	0.2356	2.4195754
100	2	0	0.221	19.5628096
100	20	0	0.247	2.8199918
100	22	0	0.3846	1.9604248
100	25	0	0.2374	2.8069024
100	27	0	0.2474	2.3171628
100	30	0	0.2398	3.5553716
100	32	0	0.2592	2.5954624
100	35	0	0.2334	3.4267272
100	37	0	0.2714	2.972696
100	40	0	0.2406	3.0404868
100	42	0	0.2798	2.6865104
100	45	0	0.2552	3.1723204
100	47	0	0.2824	2.9251556
100	5	0	0.2492	8.0948444
100	50	0	0.3014	2.847847
100	7	0	0.255	6.01664
110	11	0	0.2748	3.0729942
110	13	0	0.3036	2.6634332
110	16	0	0.2594	1.9500248
110	19	0	0.2714	2.9846048
110	2	0	0.2916	18.8888792
110	22	0	0.2316	2.4377698
110	24	0	0.2702	2.3221072
110	27	0	0.2974	2.7037156
110	30	0	0.2386	2.1495352
110	33	0	0.2572	2.9358548
110	35	0	0.2686	2.8591356
110	38	0	0.2648	2.5729738
110	41	0	0.2606	3.2483716
110	44	0	0.3424	3.3155704
110	46	0	0.28	2.8983504
110	49	0	0.2658	3.3003444
110	5	0	0.4756	7.2953406
110	52	0	0.2662	2.6822798
110	55	0	0.2746	2.646145
110	8	0	0.2286	4.2020672
120	12	0	0.264	2.8656558
120	15	0	0.2648	2.84468
120	18	0	0.2506	2.7043034
120	21	0	0.2666	3.457827
120	24	0	0.3048	2.5604266
120	27	0	0.2926	3.5274954
120	3	0	0.2722	17.2638896
120	30	0	0.3202	3.6509988
120	33	0	0.2676	3.2547818
120	36	0	0.283	3.4394474
120	39	0	0.3018	2.6949626
120	42	0	0.3114	3.433578
120	45	0	0.2768	3.2840616
120	48	0	0.2796	3.5545748
120	51	0	0.3336	3.2635048
120	54	0	0.348	3.067336
120	57	0	0.3674	2.7835424
120	6	0	0.2748	7.2601146
120	60	0	0.3212	3.2395368
120	9	0	0.3174	5.2305522
130	13	0	0.2982	2.670356
130	16	0	0.3216	2.8422842
130	19	0	0.3322	2.742072
130	22	0	0.287	2.8738952
130	26	0	0.3544	2.6788168
130	29	0	0.2926	3.38959
130	3	0	0.4696	20.0697012
130	32	0	0.3448	3.8357114
130	35	0	0.2854	3.3539192
130	39	0	0.3038	4.1237424
130	42	0	0.3134	2.7727952
130	45	0	0.3124	3.7625492
130	48	0.1	0.3728	3.158294
130	52	0.1	0.3156	3.6057988
130	55	0	0.3276	3.2163468
130	58	0	0.2908	3.1263174
130	6	0	0.3908	8.8420402
130	61	0	0.3194	3.6812312
130	65	0	0.3258	3.4705336
130	9	0	0.292	3.4948968
140	10	0	0.3358	4.3009192
140	14	0	0.3556	4.0367826
140	17	0	0.3196	3.1527584
140	21	0	0.4046	4.3885602
140	24	0	0.326	3.8837242
140	28	0	0.4356	3.9830074
140	3	0	0.3634	17.5528098
140	31	0.4	0.4656	4.3061768
140	35	0.6	0.339	5.0941338
140	38	0	0.6038	4.9051536
140	42	0	0.4122	4.6321126
140	45	0	0.3662	4.0198236
140	49	0	0.387	4.8982072
140	52	0	0.3628	9.160248
140	56	0	0.3404	3.9598838
140	59	0	0.3054	4.9188028
140	63	0	0.3158	4.1830548
140	66	0	0.3244	3.7970734
140	7	0	0.3606	6.9402924
140	70	0	0.3166	4.2217188
150	11	0	0.2878	5.4106242
150	15	0	0.2942	4.28065
150	18	0	0.3174	3.2849868
150	22	0	0.322	3.8871496
150	26	0	0.341	2.8056418
150	3	0	0.282	21.4362874
150	30	0	0.3432	2.8147732
150	33	0	0.301	3.2823138
150	37	0	0.294	4.7973782
150	41	0	0.3408	5.1685676
150	45	0	0.3558	3.9845948
150	48	0	0.3072	3.6445278
150	52	0	0.3264	3.894882
150	56	0	0.327	4.4008456
150	60	0	0.3262	4.0791466
150	63	0	0.3624	4.3507364
150	67	0	0.308	4.2023564
150	7	0	0.3002	7.5729088
150	71	0	0.353	3.688536
150	75	0	0.3934	4.2333588
160	12	0	0.3886	4.688735
160	16	0	0.4304	3.6853442
160	20	0	0.383	3.3950508
160	24	0	0.4268	3.1521074
160	28	0	0.3846	3.6486204
160	32	0	0.347	3.4515006
160	36	0	0.3652	4.0839668
160	4	0	0.4434	19.3085652
160	40	0	0.4184	4.7066468
160	44	0	0.4142	3.9951308
160	48	0	0.421	4.9215644
160	52	0	0.4058	3.9172382
160	56	0	0.3398	4.8245326
160	60	0	0.334	4.8151884
160	64	0	0.3978	4.2033292
160	68	0.2	0.4226	4.3233276
160	72	0	0.3224	3.7019294
160	76	0	0.3578	3.51238
160	8	0	0.312	5.903642
160	80	0	0.3704	4.641944
170	12	0	0.3652	5.3647554
170	17	0	0.3234	4.2753012
170	21	0	0.4026	3.4374368
170	25	0	0.4014	3.5697474
170	29	0.2	0.4112	3.7972144
170	34	0	0.3772	3.4086674
170	38	0	0.5514	3.5623124
170	4	0	0.443	19.71615
170	42	0.1	0.3846	4.5425664
170	46	0.1	0.3498	4.2034788
170	51	0.2	0.3512	3.9997132
170	55	0	0.378	5.0582764
170	59	0.2	0.3456	5.102058
170	63	0	0.3714	5.0839144
170	68	0	0.3682	4.2969328
170	72	0	0.3662	4.5519996
170	76	0.2	0.373	5.7152942
170	8	0	0.3882	6.2179344
170	80	0.7	0.3866	4.3106832
170	85	1	0.3762	4.6433512
180	13	0	0.318	4.76547
180	18	0.5	0.336	3.6841606
180	22	0.7	0.4162	3.8501402
180	27	0	0.3738	5.3834696
180	31	0	0.3334	3.6807742
180	36	0	0.388	3.4679404
180	4	0.1	0.4388	24.2689328
180	40	0	0.3528	3.6812316
180	45	0.2	0.458	3.1265478
180	49	0	0.4564	2.8136542
180	54	0	0.3564	3.2254674
180	58	0	0.3748	3.0425988
180	63	0.5	0.3716	4.069651
180	67	1	0.4326	3.1048766
180	72	1	0.4008	4.9272544
180	76	1	0.39	4.588178
180	81	1	0.3916	4.546788
180	85	1	0.4654	3.9994844
180	9	0	0.3538	8.0693352
180	90	1	0.5024	4.1848872
190	14	0	0.3778	3.682706
190	19	0	0.3498	3.876561
190	23	0	0.4192	2.9210078
190	28	0.2	0.5056	3.8897916
190	33	0	0.4024	3.9320692
190	38	0	0.5026	3.9765062
190	4	0.1	0.339	20.602565
190	42	0.2	0.3982	3.6899196
190	47	0.2	0.4392	5.174824
190	52	0.7	0.455	4.4168978
190	57	1	0.4058	4.6644674
190	61	1	0.3882	4.9655692
190	66	1	0.41	5.192034
190	71	1	0.4784	5.0843368
190	76	1	0.4294	3.128704
190	80	1	0.4334	4.6316092
190	85	1	0.4104	5.1478164
190	9	0	0.3294	13.1753126
190	90	1	0.4106	4.073154
190	95	1	0.4224	3.882552
200	10	0	0.3582	12.4078338
200	100	1	0.4166	4.8879084
200	15	0	0.3506	4.7299074
200	20	0.2	0.3676	4.6636392
200	25	0.2	0.3758	4.2477324
200	30	0	0.5056	4.085918
200	35	0.5	0.4734	3.633282
200	40	1	0.4156	4.8058338
200	45	1	0.4256	3.8370472
200	5	0.1	0.417	20.4892232
200	50	1	0.4492	5.2714638
200	55	1	0.4506	5.5201662
200	60	1	0.447	5.6593152
200	65	1	0.4378	4.9050302
200	70	1	0.4086	5.5060692
200	75	1	0.428	5.494844
200	80	1.2	0.4268	4.9998158
200	85	1	0.433	6.3552452
200	90	1	0.4592	5.5248318
200	95	1	0.4282	4.9667352
210	10	0	0.4258	7.6707364
210	105	1	0.4844	4.4342132
210	15	0.3	0.4094	4.5894412
210	21	0.4	0.4054	3.968318
210	26	0.9	0.478	3.710549
210	31	1	0.4242	3.8606912
210	36	1	0.4204	3.6499348
210	42	1	0.429	3.1178474
210	47	1	0.4166	3.7397012
210	5	0.3	0.463	22.901596
210	52	1	0.4	5.1545472
210	57	1	0.4748	5.0354106
210	63	1	0.4214	5.4705628
210	68	1	0.431	4.6167176
210	73	1	0.4214	5.3817744
210	78	1	0.4432	4.9246532
210	84	1	0.4476	6.4440448
210	89	1	0.4394	5.9202432
210	94	1	0.4932	5.4455632
210	99	1	0.4402	4.771994
220	104	1	0.4996	6.0208688
220	11	0.9	0.4182	6.4353918
220	110	1	0.4688	5.1881572
220	16	1	0.5242	6.6103046
220	22	1	0.4532	4.0228366
220	27	1	0.4434	4.3391528
220	33	1	0.4442	3.537372
220	38	1	0.5034	3.4702952
220	44	1	0.4894	3.3821726
220	49	1	0.5462	4.5455118
220	5	0.3	0.4212	23.4275824
220	55	1	0.4426	4.8194034
220	60	1	0.4628	4.4017712
220	66	1	0.5394	5.5917834
220	71	1	0.4558	4.4804758
220	77	1	0.4672	5.0071952
220	82	1	0.4638	5.1679968
220	88	1	0.4528	5.91549
220	93	1	0.6018	5.7742496
220	99	1	0.4952	5.4906812
230	103	1	0.6206	3.8399522
230	109	1	0.4858	3.148297
230	11	1	0.4404	7.3920964
230	115	1	0.5804	4.488758
230	17	1	0.4648	4.8044926
230	23	1	0.4192	3.902264
230	28	1	0.469	4.9121852
230	34	1	0.432	3.410992
230	40	1	0.4332	3.8484946
230	46	1	0.4648	3.0451262
230	5	1	0.4084	21.5705604
230	51	1	0.4474	5.6460452
230	57	1	0.507	4.9622746
230	63	1	0.5006	4.4730906
230	69	1	0.4592	6.0385768
230	74	1	0.4754	5.9260564
230	80	1	0.4952	4.9552974
230	86	1	0.5674	3.2614176
230	92	1	0.5118	4.5693108
230	97	1	0.4658	5.248972
240	102	1	0.496	4.8988456
240	108	1	0.514	4.8982266
240	114	1	0.5214	5.9588308
240	12	1	0.429	6.6735198
240	120	1	0.705	5.6971504
240	18	1	0.4716	4.820569
240	24	1	0.6466	5.2834304
240	30	1	0.6682	5.4544934
240	36	1	0.5366	3.7972854
240	42	1	0.5266	4.7240782
240	48	1	0.5504	3.5282054
240	54	1	0.494	4.7209928
240	6	1	0.445	24.3608228
240	60	1	0.4836	5.9502624
240	66	1	0.4768	5.5280898
240	72	1	0.5624	5.2025924
240	78	1	0.4586	4.708407
240	84	1	0.529	4.516874
240	90	1	0.5916	5.9428064
240	96	1	0.5804	5.6932336
250	100	1	0.6334	5.226248
250	106	1	0.5626	5.9902228
250	112	1	0.4884	5.6532588
250	118	1	0.6084	5.1995212
250	12	1	0.5888	7.3285028
250	125	1	0.595	5.4385044
250	18	1	0.5582	4.5727938
250	25	1	0.4682	3.825235
250	31	1	0.4638	4.3235598
250	37	1	0.6048	4.120962
250	43	1	0.4958	3.8540938
250	50	1	0.5504	5.6121162
250	56	1	0.662	4.696317
250	6	1	0.4836	22.0054176
250	62	1	0.5212	4.9922162
250	68	1	0.5402	6.1678452
250	75	1	0.545	5.9321702
250	81	1	0.705	5.7572626
250	87	1	0.5056	6.3969484
250	93	1	0.5222	6.0963176
260	104	1	0.5276	5.5587872
260	110	1	0.5662	6.0599926
260	117	1	0.5426	6.2372176
260	123	1	0.55	5.6262132
260	13	1	0.4844	10.8244628
260	130	1	0.564	4.2927974
260	19	1	0.6666	4.8740898
260	26	1	0.482	4.0003708
260	32	1	0.4932	3.96962
260	39	1	0.5126	4.6449918
260	45	1	0.5168	3.7835642
260	52	1	0.4974	5.3505976
260	58	1.2	0.509	4.901432
260	6	1	0.5616	20.909607
260	65	1	0.6284	5.4237734
260	71	1	0.727	5.8674466
260	78	1	0.6266	6.6600448
260	84	1	0.5074	5.6941444
260	91	1	0.536	6.2599628
260	97	1	0.5268	5.3837536
270	101	1	0.5604	5.378196
270	108	1	0.5552	6.0429448
270	114	1	0.5672	5.3544734
270	121	1	0.6226	5.502472
270	128	1	0.5712	4.1281034
270	13	1	0.5284	6.6573584
270	135	1	0.5726	4.4373412
270	20	1	0.5478	4.7679726
270	27	1	0.4926	6.0298898
270	33	1	0.5386	7.438633
270	40	1	0.518	4.368584
270	47	1	0.5008	4.1613588
270	54	1	0.5136	4.3634344
270	6	1	0.5392	26.488999
270	60	1	0.542	4.3249536
270	67	1	0.5308	5.9230026
270	74	1	0.6182	5.7064636
270	81	1	0.5524	6.4525068
270	87	1	0.5304	5.9480144
270	94	1	0.682	5.8255046
280	105	1	0.604	7.2195852
280	112	1	0.6252	7.1634068
280	119	1	0.5854	5.4908976
280	126	1	0.672	5.972757
280	133	1.2	0.5812	4.1690174
280	14	1	0.5596	6.9312438
280	140	1	0.642	6.2691144
280	21	1	0.5606	5.5253752
280	28	1	0.5166	5.6150064
280	35	1	0.5444	4.7015858
280	42	1	0.7348	3.9127786
280	49	1	0.5114	4.1085502
280	56	1	0.5376	4.6064304
280	63	1	0.5998	5.4966084
280	7	1	0.4744	28.0196342
280	70	1	0.5638	5.5657816
280	77	1	0.5468	6.203751
280	84	1	0.5482	3.8741214
280	91	1	0.6868	5.6926488
280	98	1	0.5592	5.8033968
290	101	1.1	0.5302	6.61475
290	108	1	0.5448	6.899482
290	116	1	0.555	6.8591216
290	123	1	0.6042	7.6529356
290	130	1	0.5822	8.611601
290	137	1	0.5456	6.244818
290	14	1	0.6344	6.216755
290	145	1	0.5714	5.6830952
290	21	1	0.5894	5.6544716
290	29	1	0.5512	4.7020334
290	36	1	0.6142	4.8403948
290	43	1	0.5854	4.8681236
290	50	1	0.5878	4.0295818
290	58	1	0.5764	4.6607082
290	65	1	0.5022	3.8878098
290	7	1	0.5084	27.7288108
290	72	1	0.5234	4.7315214
290	79	1	0.5556	7.1138808
290	87	1	0.569	4.6608652
290	94	1.1	0.5682	6.6391688
300	105	1	0.573	6.8325416
300	112	1	0.5478	5.8191696
300	120	1	0.5754	7.2484372
300	127	1	0.8228	6.0487676
300	135	1	0.5712	7.0646248
300	142	1	0.6238	5.1222336
300	15	1	0.5346	6.2815832
300	150	1	0.6068	6.4332932
300	22	1	0.5604	4.7914954
300	30	1	0.5372	4.6371176
300	37	1	0.6148	4.3090998
300	45	1	0.5876	5.6091704
300	52	1	0.532	3.3034042
300	60	1	0.548	5.3447928
300	67	1	0.5326	5.1522254
300	7	1	0.5194	28.6342552
300	75	1.2	0.548	6.85737
300	82	1	0.64	6.1576782
300	90	1	0.6334	6.6417398
300	97	1	0.5536	6.1454786
310	100	1	0.678	4.4649234
310	108	1	0.592	6.043913
310	116	1	0.7	6.5230006
310	124	1	0.771	5.9441388
310	131	1	0.6584	7.1280388
310	139	1	0.7436	6.992348
310	147	1.2	0.5994	6.88669
310	15	1	0.5474	5.9509582
310	155	1	0.6128	10.6916832
310	23	1	0.6946	6.7776064
310	31	1	0.5618	4.5329672
310	38	1	0.7054	5.0058728
310	46	1	0.648	4.1371724
310	54	1	0.6066	4.2931544
310	62	1.2	0.7082	4.1111742
310	69	1	0.6258	4.7971658
310	7	1	0.6086	38.7055264
310	77	1	0.7056	7.1792468
310	85	1	0.7148	5.7585392
310	93	1	0.7586	8.0705184
320	104	1.2	0.5888	5.7836152
320	112	1	0.7142	6.3366832
320	120	1	0.7838	5.1657052
320	128	1	0.8648	5.627678
320	136	1	0.7634	6.2463068
320	144	1.2	0.6118	6.7403584
320	152	1	0.6912	9.6199012
320	16	1	0.587	6.7626024
320	160	1	0.6268	5.1146812
320	24	1	0.6294	5.0457216
320	32	1	0.5452	5.22431
320	40	1	0.6028	5.1508626
320	48	1	0.5944	4.27603
320	56	1	0.55	3.9720764
320	64	1	0.7492	4.7675304
320	72	1	0.7968	5.0259318
320	8	1.4	0.6104	24.5698328
320	80	1	0.6252	6.6406434
320	88	1	0.7356	5.9717334
320	96	1	0.787	6.2142538
330	107	1.1	0.6688	7.8896982
330	115	1.1	0.9094	7.5399988
330	123	1	0.6456	8.4085032
330	132	1	0.789	7.283052
330	140	1	0.6694	6.873558
330	148	1	0.6266	6.1498252
330	156	1.1	0.8108	10.7379284
330	16	1	0.5864	6.344248
330	165	1.1	1.4182	3.9619604
330	24	1	0.6032	5.2215412
330	33	1	0.6844	4.6207108
330	41	1	0.9032	4.6041914
330	49	1	0.7172	4.2084666
330	57	1	0.7244	4.191844
330	66	1	0.832	7.103257
330	74	1	0.7612	6.7993554
330	8	1	0.582	23.2585538
330	82	1	0.8508	8.0109772
330	90	1	0.6238	7.3922808
330	99	1	0.7584	6.6663468
340	102	1.2	0.9568	6.5899146
340	110	1	0.8776	7.6900092
340	119	1	0.6838	6.9894012
340	127	1	0.728	5.4142396
340	136	1.1	1.6744	6.2164948
340	144	1.1	0.6488	5.397249
340	153	1.6	0.65	5.0451676
340	161	1.9	0.6564	10.4537768
340	17	1	0.6728	5.5373386
340	170	2	1.2484	5.2161176
340	25	1	0.8966	5.9220672
340	34	1	0.6906	5.6943336
340	42	1	1.168	6.4735304
340	51	1	1.1016	5.5761378
340	59	1	0.9224	5.367434
340	68	1.6	1.913	5.7506788
340	76	1	0.7286	7.3949128
340	8	1	0.8578	33.3506772
340	85	1	1.0536	7.8524068
340	93	1	0.641	8.0049912
350	105	1	0.6412	5.8668152
350	113	1	0.6858	5.5528222
350	122	1	1.0056	7.5449756
350	131	1.1	0.9978	7.1919172
350	140	1.5	0.6506	6.4566604
350	148	1.8	0.9004	8.307654
350	157	2.1	0.8264	11.5529824
350	166	2	0.7182	6.8560564
350	17	1	0.5762	6.8064702
350	175	2	0.8914	5.1522824
350	26	1	0.6838	5.7622408
350	35	1	0.8088	5.0725502
350	43	1	0.5956	4.6648776
350	52	1	0.7254	3.5620962
350	61	1	0.6952	4.3365586
350	70	1	0.7138	4.2660566
350	78	1	0.7224	5.057754
350	8	1.1	0.6648	24.6376614
350	87	1	0.863	6.6384398
350	96	1	0.6028	6.5107566
360	108	1.7	0.7786	5.8106864
360	117	1.1	0.7434	7.7671456
360	126	1.7	1.0046	6.7254054
360	135	2	0.7044	8.833276
360	144	2	0.6546	7.4618676
360	153	2	0.8024	6.6776196
360	162	2	0.7556	11.576692
360	171	2	0.9366	5.7220738
360	18	1	1.011	6.6545808
360	180	2	0.8322	6.3407114
360	27	1	0.627	4.89721
360	36	1	0.6542	5.8468452
360	45	1	0.592	4.9624406
360	54	1	0.7228	4.5911348
360	63	1	0.7956	4.1788434
360	72	1	0.7314	5.7662374
360	81	1	0.864	5.1711912
360	9	1.1	0.5944	25.8386946
360	90	1.2	0.6984	7.523788
360	99	1	0.7882	6.7345952
370	101	1	0.722	6.4479116
370	111	1.4	0.6546	5.6739424
370	120	1.5	0.761	7.2393644
370	129	2	0.692	6.6582612
370	138	2	0.7194	5.0417376
370	148	2	0.817	6.943646
370	157	2	0.702	8.3502938
370	166	2	0.6746	9.7084434
370	175	2	0.6978	6.5117932
370	18	1	0.5858	8.800301
370	185	2.2	0.8362	6.2201548
370	27	1	0.766	6.8380242
370	37	1	0.6222	5.4311834
370	46	1	0.6552	6.7087578
370	55	1	0.6458	4.8034416
370	64	1	1.0322	5.5972074
370	74	1	0.706	7.2831354
370	83	1	0.6636	7.1745606
370	9	1.1	0.6872	27.0854872
370	92	1	0.734	6.974556
380	104	1.9	0.6712	6.6626832
380	114	2	0.67	5.6615708
380	123	2	0.7502	5.6235052
380	133	2	0.6944	6.7301572
380	142	2	0.861	6.6876368
380	152	2	0.8308	6.1536364
380	161	2	0.8708	10.8737758
380	171	2	0.7888	7.027362
380	180	2	0.717	5.3003108
380	19	1.2	0.618	8.1261428
380	190	2	0.7428	5.767154
380	28	1	0.7924	6.597953
380	38	1	0.7	8.3926124
380	47	1	0.6828	5.2036966
380	57	1	0.8684	4.6371564
380	66	1	0.6742	4.9568486
380	76	1.2	0.6288	4.6072248
380	85	1.2	0.6542	4.6634744
380	9	1.1	0.6372	29.678584
380	95	1.2	0.6268	4.0875566
390	107	2	0.8102	7.3906464
390	117	2	0.7958	7.3569316
390	126	2	0.7596	6.8615544
390	136	2	0.7402	5.9700952
390	146	2	0.7294	6.8756808
390	156	2	0.7866	6.0086096
390	165	2	0.7434	7.2416144
390	175	2	0.864	6.3406596
390	185	2	0.7852	4.9306372
390	19	1	0.6134	7.5948762
390	195	2	0.747	4.6298992
390	29	1	0.699	10.072588
390	39	1	0.6376	4.7789202
390	48	1	0.6628	5.3711466
390	58	1	0.6448	6.5671252
390	68	1.2	0.799	5.6209636
390	78	1.4	0.6702	3.6959142
390	87	1.4	0.766	8.771645
390	9	1.1	0.8302	30.0321496
390	97	1.9	0.8934	7.3876776
400	10	1.2	0.7816	33.1552838
400	100	2	1.3756	7.7925604
400	110	2	0.79	8.3478544
400	120	2	0.9226	8.0041296
400	130	2	0.733	8.4305716
400	140	2	0.7092	7.465038
400	150	2	0.7332	7.1932792
400	160	2	0.7902	12.3007164
400	170	2.2	0.8356	7.012922
400	180	2	0.7432	5.8664672
400	190	2	0.765	6.77465
400	20	1.3	1.0286	9.1119136
400	200	2	0.7822	4.9851148
400	30	1	1.0732	5.9966328
400	40	1.2	0.9904	5.691739
400	50	1.3	0.9518	4.129381
400	60	1.2	0.871	5.5896902
400	70	1.3	1.0444	5.4263198
400	80	1.7	1.0766	4.4551966
400	90	2	1.195	6.748093
410	10	1.1	0.6162	27.4465822
410	102	2	0.7532	8.5919216
410	112	2	0.7456	8.0923284
410	123	2	0.7292	9.4031012
410	133	2	0.7416	8.4901248
410	143	2	0.8204	7.7406108
410	153	2	0.7336	7.1961336
410	164	2	0.7568	12.2713288
410	174	2	0.7794	6.3906944
410	184	2	0.825	5.8782208
410	194	2	0.9504	4.6567468
410	20	1.2	0.68	8.3726492
410	205	2	0.7632	5.5636248
410	30	1	0.686	5.5881758
410	41	1.2	0.7064	4.838517
410	51	1.2	0.7648	4.9683112
410	61	1.9	0.7016	5.016238
410	71	2	0.6784	5.7064398
410	82	2	0.7164	6.986688
410	92	2	0.817	7.1542656
420	10	1.2	0.7322	26.0639442
420	105	2	0.8466	8.370242
420	115	2	0.7258	9.0862984
420	126	2	0.6968	7.7459876
420	136	2	0.7362	8.2742236
420	147	2	0.736	7.7206132
420	157	2	0.7674	9.4216776
420	168	2	0.969	12.9458832
420	178	2.4	0.7788	6.9695092
420	189	2	0.8058	10.4592676
420	199	2	0.9158	5.4824776
420	21	1.1	0.6922	5.8662992
420	210	2	0.7996	5.3841036
420	31	1	0.6752	5.8719298
420	42	1.3	0.7826	7.1618914
420	52	2	0.7782	5.4542524
420	63	2	0.997	6.1415904
420	73	2	1.3822	4.182054
420	84	2	0.7446	6.9148308
420	94	2	0.8984	8.2859354
430	10	1.3	0.6512	27.5001218
430	107	2	1.1854	8.5517514
430	118	2	0.8214	8.0424764
430	129	2	0.7852	9.0365866
430	139	2	1.4814	8.756629
430	150	2	0.863	7.655454
430	161	2	0.9326	13.1621056
430	172	2	0.993	172.720166
430	182	2	1.0502	5.595724
