Uniques	Duplicates	X1	M1	S1
10	1	0	0.141	9.1858056
10	2	0	0.099	1.7588446
10	3	0	0.129	2.6693588
10	4	0	0.1044	2.2708498
10	5	0	0.1872	2.4812414
20	1	0	0.139	9.6405202
20	10	0	0.2692	1.6576618
20	2	0	0.1428	2.1775992
20	3	0	0.1298	3.2091624
20	4	0	0.1488	2.7594952
20	5	0	0.2794	2.3812318
20	6	0	0.144	2.3647274
20	7	0	0.1488	1.8284702
20	8	0	0.155	2.8377034
20	9	0	0.1696	2.1379714
30	1	0.1	0.1916	10.4130032
30	10	1	0.1936	1.709084
30	11	1	0.2862	1.4111414
30	12	1	0.2356	1.5680074
30	13	1	0.2086	1.3452238
30	14	1	0.2278	2.1595064
30	15	1	0.2496	2.022756
30	2	0	0.186	4.6080456
30	3	0	0.2078	2.761341
30	4	0	0.2322	4.0695776
30	5	0	0.2116	2.5710864
30	6	0	0.3216	2.6106104
30	7	0.5	0.2352	1.6792984
30	8	1	0.1898	1.4967994
30	9	1	0.1908	1.7884018
40	1	1.1	0.218	10.1259078
40	10	1	0.4056	2.0812522
40	11	1	0.378	1.6473666
40	12	1	0.2866	2.9057542
40	13	1	0.28	2.3863502
40	14	1.9	0.289	2.1261776
40	15	2	0.3312	2.2206698
40	16	2	0.3206	2.3759786
40	17	2	0.302	1.9962978
40	18	2	0.3544	2.3461328
40	19	2	0.3376	2.4622476
40	2	1	0.3042	4.8098592
40	20	2	0.3202	2.137568
40	3	1	0.2874	8.3921604
40	4	1	0.262	4.8744646
40	5	1	0.2564	2.7464184
40	6	1.2	0.2852	2.4272698
40	7	1	0.2846	1.4653868
40	8	1	0.3654	1.6397332
40	9	1	0.279	1.247642
50	1	1.2	0.359	12.1160372
50	10	2	0.4034	1.5253578
50	11	2	0.5056	1.473927
50	12	2	0.4176	1.8358936
50	13	2	0.4274	1.887313
50	15	2	0.4484	3.1502308
50	16	2	0.4334	2.2409454
50	17	2.9	0.438	2.6308556
50	18	3	0.4288	2.500341
50	2	1	0.3432	4.554221
50	20	3	0.4454	2.8351508
50	21	3	0.4252	2.4344772
50	22	3	0.6138	2.4223192
50	23	3	0.4402	2.1930596
50	25	3	0.5252	2.6735132
50	3	1	0.3916	3.7168792
50	5	1.9	0.3582	4.7235496
50	6	2	0.447	2.35803
50	7	2	0.3602	2.2810488
50	8	2	0.3698	1.91686
60	1	2.3	0.3858	11.1616832
60	10	3	0.4502	2.1938594
60	12	3	0.452	2.158256
60	13	3.5	0.4482	1.6824034
60	15	3.3	0.4834	2.4326476
60	16	3	0.476	2.2564958
