Total	X1	X2	M1	M2	S1	S2
11	0	0	0.141	0.1336	9.1858056	10.3844334
12	0	0	0.099	0.1342	1.7588446	2.8514604
13	0	0	0.129	0.1502	2.6693588	2.7726944
14	0	0	0.1044	0.1234	2.2708498	1.7908108
15	0	0	0.1872	0.108	2.4812414	1.7045102
21	0	0	0.139	0.1252	9.6405202	8.7293352
22	0	0	0.1428	0.1408	2.1775992	2.5069618
23	0	0	0.1298	0.1426	3.2091624	4.0479344
24	0	0	0.1488	0.1186	2.7594952	3.366314
25	0	0	0.2794	0.1474	2.3812318	3.4664344
26	0	0	0.144	0.1316	2.3647274	3.129403
27	0	0	0.1488	0.107	1.8284702	1.9192508
28	0	0	0.155	0.2754	2.8377034	2.2294434
29	0	0	0.1696	0.1268	2.1379714	2.163342
30	0	0	0.2692	0.1268	1.6576618	2.3619272
31	0.1	0	0.1916	0.1354	10.4130032	16.8030012
32	0	0	0.186	0.1356	4.6080456	5.19334
33	0	0	0.2078	0.15	2.761341	4.8210868
34	0	0	0.2322	0.1508	4.0695776	3.667765
35	0	0	0.2116	0.1952	2.5710864	4.0454752
36	0	0	0.3216	0.119	2.6106104	3.6041904
37	0.5	0	0.2352	0.192	1.6792984	2.4912932
38	1	0	0.1898	0.1648	1.4967994	2.6170806
39	1	0	0.1908	0.162	1.7884018	1.7481524
40	1	0	0.1936	0.1346	1.709084	1.5445388
41	1	0	0.2862	0.1306	1.4111414	1.1567934
42	1	0	0.2356	0.1446	1.5680074	1.6444394
43	1	0	0.2086	0.1724	1.3452238	1.6718308
44	1	0	0.2278	0.1458	2.1595064	2.1847144
45	1	0	0.2496	0.1586	2.022756	2.4485128
46	1.2	0	0.2852	0.1942	2.4272698	2.6849498
47	1	0	0.2846	0.1666	1.4653868	1.782087
48	1	0	0.3654	0.1832	1.6397332	1.7971338
49	1	0	0.279	0.3746	1.247642	1.4617342
50	1	0	0.4056	0.1854	2.0812522	1.3938174
51	1	0	0.378	0.1908	1.6473666	1.9750014
52	1	0	0.2866	0.183	2.9057542	2.803705
53	1	0	0.28	0.2286	2.3863502	2.4732452
54	1.9	0	0.289	0.1798	2.1261776	2.5778146
55	1.9	0	0.3582	0.1952	4.7235496	5.3624648
56	2	0	0.3206	0.1714	2.3759786	2.1653788
57	2	0	0.302	0.5102	1.9962978	2.4752024
58	2	0	0.3544	0.9124	2.3461328	2.2334356
59	2	0	0.3376	0.16	2.4622476	2.1668272
60	2	0	0.3202	0.6548	2.137568	2.434678
61	2	0	0.5056	0.2346	1.473927	1.808985
62	2	0	0.4176	0.2268	1.8358936	1.5966736
63	2	0	0.4274	0.2096	1.887313	2.3548266
64	2	0	0.4006	0.228	5.6309058	6.4596172
65	2	0	0.4484	0.1886	3.1502308	2.7407828
66	2	0	0.4334	0.1686	2.2409454	2.5870848
67	2.9	0	0.438	0.1992	2.6308556	2.4107728
68	3	0	0.4288	0.2102	2.500341	2.4014
69	3	0	0.4584	0.2246	2.1567166	1.9152152
70	3	0	0.4454	0.2282	2.8351508	2.3419888
71	3	0	0.4252	0.1974	2.4344772	3.0349504
72	3	0	0.452	0.17	2.158256	1.5733312
73	3	0	0.4402	0.243	2.1930596	2.158258
75	3	0	0.5252	0.2206	2.6735132	2.551004
76	3	0	0.476	0.2008	2.2564958	2.3504738
77	3.9	0	0.5616	0.2428	4.0016804	3.6978632
78	3.9	0	0.5354	0.1912	2.9664584	3.0726112
79	4	0	0.6448	0.1898	5.4303438	3.0753286
80	4	0	0.5404	0.2306	1.687005	1.7362216
81	4	0	0.5344	0.2078	2.5377752	3.2542244
82	4	0	0.5312	0.2262	2.2979092	2.7955172
84	4	0	0.5732	0.2324	3.2610416	2.1834044
85	4.3	0	0.5462	0.324	2.9751472	2.7528848
86	4.7	0	0.6292	0.248	5.562026	5.8635588
87	4.9	0	0.6804	0.2458	3.0769716	3.746572
