Total	S3	S4	S5	S6	S8
11	9.4067982	9.999645	11.055373	21.2832404	10.1527598
12	1.8630876	2.9725882	1.9689898	1.9753644	35.7619624
13	1.800167	3.676985	1.5664626	2.6349964	82.5525578
14	2.3836752	2.2524774	1.4495416	2.7306342	47.60819
15	2.3611918	12.9947856	2.4155312	2.440026	2.8480902
21	9.9742566	12.531373	11.2448254	12.6471046	13.524956
22	2.662196	20.5937838	1.8887074	3.6063102	3.5221286
23	2.2727244	3.85836	2.224569	3.1736526	2.8882382
24	3.090573	3.5476852	3.2299902	2.661246	2.220097
25	2.004187	2.1864418	2.652866	2.137457	2.2758458
26	1.7090118	2.313457	1.6136516	2.108497	1.9917446
27	1.9860222	2.0941984	2.112886	2.7943536	1.7472484
28	1.1592284	1.9114632	1.9881716	2.7658004	2.2982878
29	1.316773	1.8785184	1.5495822	1.3983634	2.1848712
30	1.4786196	18.9319778	1.983912	2.4406636	2.0552478
31	10.3218006	12.664841	7.5551494	13.5326584	12.4253914
32	2.2894378	5.6703586	2.4534846	3.2050294	3.8311558
33	1.9466214	4.2371876	2.1361464	3.2038586	4.018117
34	2.3651408	2.6843508	3.1476648	2.2689174	2.7676362
35	2.0175728	2.8416444	1.9003828	2.5918196	2.8214646
36	1.7686648	2.3698352	2.1869528	2.4315698	2.2063024
37	1.5569212	2.2862176	2.271114	2.0465356	2.2821064
38	1.7157242	1.7583718	1.1912528	1.6031398	2.1405402
39	1.0767076	45.0731012	1.177772	2.1089858	2.0717186
40	1.446984	6.3483962	2.1795216	1.6754874	82.5153158
41	1.0576798	2.6254388	1.2466004	2.1915622	117.3606904
42	1.284789	3.4264512	2.3345922	2.6394124	3.4517092
43	1.409303	7.7587212	2.130779	1.879821	1.9463384
44	1.2870336	22.4470608	1.7759022	2.2600046	2.7582554
45	0.9222252	3.28368	1.7172282	2.1947796	3.02799
46	1.9584134	2.2846522	2.4483124	2.5166404	2.9812186
47	2.652206	1.747475	1.6564168	1.7657386	4.0399432
48	1.8783944	2.918192	1.8822972	4.9547508	2.4127844
49	2.1568772	12.3790676	1.4180036	12.379889	3.0442828
50	2.0207628	56.0569428	2.998325	1.8635082	3.5795522
51	11.3454052	74.4989728	12.3881532	15.62955	15.6692638
52	1.8646876	77.641551	2.4818842	2.251216	3.9270158
53	1.6720164	5.8238238	1.5960546	2.5121248	2.8366154
54	1.6958604	12.3202508	2.15775	3.0108302	5.1110912
55	1.9664768	2.7909216	1.8968676	2.755722	3.9270236
56	1.8319314	15.3040584	2.0493596	2.7178732	3.9327924
57	1.4218876	8.2443828	2.343616	2.6000888	3.9864504
58	1.3515418	27.064786	2.7650584	2.8735592	3.3900644
59	2.1787452	38.7738094	1.919346	2.4995068	3.2150016
60	1.200689	21.9390472	2.0429246	2.2699968	7.4679692
61	11.9843844	15.7911332	12.3272244	15.526044	15.8531302
62	1.5994136	123.169175	1.8008252	1.977836	3.6097966
63	2.377101	115.7779316	1.6057052	1.916173	4.2525008
64	4.082686	4.5931646	2.7233208	3.8772052	20.2116124
65	1.6953964	5.1605786	2.577966	2.4634796	4.1184496
66	1.6163898	8.3855816	2.854712	2.6557092	3.7759448
67	1.9463708	39.9431688	1.5198244	2.4772862	20.5522144
68	1.9760568	3.1420728	2.3901024	2.6541488	3.9292348
69	1.7201426	114.3203164	11.0841014	2.2186502	158.8491886
70	2.0930886	3.2382588	2.1171276	2.9415704	2.684413
71	1.7076004	2.7433678	2.1783624	2.146651	3.2415744
72	1.7567012	4.00088	1.3831444	2.7445754	3.2028476
73	1.8719454	4.2028958	1.334918	1.9556776	92.797247
75	1.7250768	3.1427172	2.1574524	2.4544542	2.985864
76	2.0000662	4.4107564	2.1773332	2.4899064	5.2341102
77	2.7547218	3.4379978	2.823659	3.455958	5.7347876
78	1.940925	4.2516116	2.6095566	3.459837	3.5259658
79	2.868077	3.3970894	2.9031134	3.3677078	285.7120972
80	1.629226	3.9263646	1.7884804	3.0106494	4.8003904
